beer_style,subgroup_14,subgroup_2,subgroup_5,subgroup_pale,subgroup_IPA,subgroup_color
Altbier,Pale Lager,Lager,Pale Lager,Other,Other,Pale
American Adjunct Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
American Amber / Red Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
American Amber / Red Lager,Dark Lager,Lager,Dark Lager,Other,Other,Dark
American Barleywine,Strong Ale,Ale,Dark Ale,Other,Other,Dark
American Black Ale,Dark Ale,Ale,Dark Ale,Other,Other,Dark
American Blonde Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
American Brown Ale,Brown Ale,Ale,Dark Ale,Other,Other,Dark
American Dark Wheat Ale,Wheat Beer,Ale,Dark Ale,Other,Other,Dark
American Double / Imperial IPA,IPA,Ale,Pale Ale,IPA,IPA,Pale
American Double / Imperial Pilsner,Specialty,Ale,Pale Ale,Other,Other,Pale
American Double / Imperial Stout,Stout,Ale,Dark Ale,Other,Other,Dark
American IPA,IPA,Ale,Pale Ale,IPA,IPA,Pale
American Malt Liquor,Specialty,Other,Specialty,Other,Other,Other
American Pale Ale (APA),Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
American Pale Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
American Pale Wheat Ale,Wheat Beer,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
American Porter,Porter,Ale,Dark Ale,Other,Other,Dark
American Stout,Stout,Ale,Dark Ale,Other,Other,Dark
American Strong Ale,Strong Ale,Ale,Pale Ale,Strong Ale,Pale Ale,Pale
American Wild Ale,Sour Ale,Ale,Pale Ale,Other,Other,Pale
Baltic Porter,Porter,Ale,Dark Ale,Other,Other,Dark
Belgian Dark Ale,Dark Ale,Ale,Dark Ale,Other,Other,Dark
Belgian IPA,IPA,Ale,Pale Ale,IPA,IPA,Pale
Belgian Pale Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Belgian Strong Dark Ale,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Belgian Strong Pale Ale,Strong Ale,Ale,Pale Ale,Strong Ale,Pale Ale,Pale
Berliner Weissbier,Sour Ale,Ale,Sour Ale,Other,Other,Pale
Biere de Champagne / Biere Brut,Specialty,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Biere de Garde,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Black & Tan,Specialty,Ale,Dark Ale,Other,Other,Dark
Bock,Bock,Lager,Dark Lager,Other,Other,Dark
Braggot,Specialty,Ale,Specialty,Other,Other,Other
California Common / Steam Beer,Brown Ale,Ale,Dark Ale,Other,Other,Dark
Chile Beer,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
Cream Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Czech Pilsener,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Doppelbock,Bock,Lager,Dark Lager,Other,Other,Dark
Dortmunder / Export Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Dubbel,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Dunkelweizen,Wheat Beer,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
Eisbock,Bock,Lager,Dark Lager,Other,Other,Dark
English Barleywine,Strong Ale,Ale,Dark Ale,Other,Other,Dark
English Bitter,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
English Brown Ale,Brown Ale,Ale,Dark Ale,Other,Other,Dark
English Dark Mild Ale,Dark Ale,Ale,Dark Ale,Other,Other,Dark
English India Pale Ale (IPA),IPA,Ale,Pale Ale,IPA,IPA,Pale
English Pale Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
English Pale Mild Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
English Porter,Porter,Ale,Dark Ale,Other,Other,Dark
English Stout,Stout,Ale,Dark Ale,Other,Other,Dark
English Strong Ale,Strong Ale,Ale,Pale Ale,Strong Ale,Pale Ale,Pale
Euro Dark Lager,Dark Lager,Lager,Dark Lager,Other,Other,Dark
Euro Pale Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Euro Strong Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Extra Special / Strong Bitter (ESB),Pale Ale,Ale,Pale Ale,Other,Pale Ale,Pale
Faro,Sour Ale,Ale,Sour Ale,Other,Other,Other
Flanders Oud Bruin,Specialty,Ale,Sour Ale,Other,Other,Other
Flanders Red Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Foreign / Export Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Fruit / Vegetable Beer,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
German Pilsener,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Gose,Sour Ale,Ale,Sour Ale,Other,Other,Other
Gueuze,Sour Ale,Ale,Sour Ale,Other,Other,Other
Happoshu,Specialty,Lager,Pale Lager,Other,Other,Pale
Hefeweizen,Wheat Beer,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
Herbed / Spiced Beer,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
Irish Dry Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Irish Red Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Japanese Rice Lager,Specialty,Lager,Pale Lager,Other,Other,Pale
Keller Bier / Zwickel Bier,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Kolsch,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Kristalweizen,Specialty,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
Kvass,Specialty,Ale,Specialty,Other,Other,Other
Lambic - Fruit,Fruit/Veggie Beer,Ale,Sour Ale,Other,Other,Other
Lambic - Unblended,Fruit/Veggie Beer,Ale,Sour Ale,Other,Other,Other
Light Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Low Alcohol Beer,Specialty,Ale,Specialty,Other,Other,Other
Maibock / Helles Bock,Bock,Lager,Dark Lager,Other,Other,Dark
Marzen / Oktoberfest,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Milk / Sweet Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Munich Dunkel Lager,Dark Lager,Lager,Dark Lager,Other,Other,Dark
Munich Helles Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Oatmeal Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Old Ale,Specialty,Ale,Specialty,Other,Other,Other
Pumpkin Ale,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
Quadrupel (Quad),Strong Ale,Ale,Dark Ale,Other,Other,Dark
Rauchbier,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Roggenbier,Specialty,Ale,Specialty,Other,Other,Other
Russian Imperial Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Rye Beer,Specialty,Ale,Specialty,Other,Other,Other
Sahti,Specialty,Ale,Specialty,Other,Other,Other
Saison / Farmhouse Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Schwarzbier,Dark Lager,Lager,Dark Lager,Other,Other,Dark
Scotch Ale / Wee Heavy,Dark Ale,Ale,Dark Ale,Other,Other,Dark
Scottish Ale,Dark Ale,Ale,Dark Ale,Other,Other,Dark
Scottish Gruit / Ancient Herbed Ale,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
Smoked Beer,Specialty,Ale,Specialty,Other,Other,Other
Tripel,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Vienna Lager,Dark Lager,Lager,Dark Lager,Other,Other,Dark
Weizenbock,Bock,Lager,Dark Lager,Other,Other,Dark
Wheatwine,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Winter Warmer,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Witbier,Wheat Beer,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
